 Date,NAPMPMI Close
01-31-1948,51.7
02-29-1948,50.2
03-31-1948,43.3
04-30-1948,45.4
05-31-1948,49.5
06-30-1948,53
07-31-1948,48.4
08-31-1948,45.1
09-30-1948,42.1
10-31-1948,47.2
11-30-1948,42.4
12-31-1948,35
01-31-1949,32.9
02-28-1949,31.3
03-31-1949,34.5
04-30-1949,35.5
05-31-1949,32.6
06-30-1949,31.6
07-31-1949,39
08-31-1949,47
09-30-1949,52.3
10-31-1949,51
11-30-1949,51
12-31-1949,57.3
01-31-1950,59.1
02-28-1950,60.5
03-31-1950,62.1
04-30-1950,68.1
05-31-1950,74.7
06-30-1950,76.6
07-31-1950,77.5
08-31-1950,75.8
09-30-1950,68.1
10-31-1950,59.2
11-30-1950,63.1
12-31-1950,67.1
01-31-1951,67.8
02-28-1951,69.3
03-31-1951,65.5
04-30-1951,53.5
05-31-1951,50.7
06-30-1951,45.5
07-31-1951,42.1
08-31-1951,43.6
09-30-1951,48.1
10-31-1951,49.6
11-30-1951,47.2
12-31-1951,46.5
01-31-1952,44.7
02-29-1952,41.8
03-31-1952,40
04-30-1952,36.7
05-31-1952,39.5
06-30-1952,43.3
07-31-1952,48.3
08-31-1952,60.4
09-30-1952,56.1
10-31-1952,56.2
11-30-1952,56.8
12-31-1952,55.8
01-31-1953,59.4
02-28-1953,55.4
03-31-1953,50.5
04-30-1953,51.1
05-31-1953,48.9
06-30-1953,48.5
07-31-1953,46.3
08-31-1953,43.5
09-30-1953,40.2
10-31-1953,37.4
11-30-1953,36.9
12-31-1953,35.6
01-31-1954,37.4
02-28-1954,40.7
03-31-1954,44.7
04-30-1954,47.7
05-31-1954,50.1
06-30-1954,52.1
07-31-1954,51.7
08-31-1954,54.4
09-30-1954,53.5
10-31-1954,58.2
11-30-1954,58.8
12-31-1954,63.8
01-31-1955,63
02-28-1955,67.8
03-31-1955,67.5
04-30-1955,68.7
05-31-1955,69.5
06-30-1955,63.3
07-31-1955,66.2
08-31-1955,64.8
09-30-1955,62.4
10-31-1955,63.7
11-30-1955,62
12-31-1955,65.6
01-31-1956,60.2
02-29-1956,58.2
03-31-1956,57.2
04-30-1956,55.9
05-31-1956,51.2
06-30-1956,47.7
07-31-1956,44.2
08-31-1956,51.5
09-30-1956,55.5
10-31-1956,52.7
11-30-1956,55
12-31-1956,52.7
01-31-1957,53.6
02-28-1957,51
03-31-1957,47.5
04-30-1957,43.1
05-31-1957,43.4
06-30-1957,45.9
07-31-1957,45.7
08-31-1957,45.3
09-30-1957,45.8
10-31-1957,41.1
11-30-1957,40.4
12-31-1957,36.8
01-31-1958,33.4
02-28-1958,37.2
03-31-1958,39.8
04-30-1958,39.1
05-31-1958,46.6
06-30-1958,51.4
07-31-1958,54.7
08-31-1958,57.3
09-30-1958,59.8
10-31-1958,62.3
11-30-1958,62.7
12-31-1958,60.5
01-31-1959,64.4
02-28-1959,66.9
03-31-1959,67.1
04-30-1959,66.9
05-31-1959,68.2
06-30-1959,64.4
07-31-1959,61.5
08-31-1959,55.1
09-30-1959,48.3
10-31-1959,49.7
11-30-1959,50.6
12-31-1959,58.2
01-31-1960,61.5
02-29-1960,52.3
03-31-1960,47.8
04-30-1960,45.3
05-31-1960,42.6
06-30-1960,44.4
07-31-1960,43.7
08-31-1960,47.6
09-30-1960,45.4
10-31-1960,46
11-30-1960,44.3
12-31-1960,44.3
01-31-1961,43.9
02-28-1961,43.6
03-31-1961,49.1
04-30-1961,57.6
05-31-1961,58.9
06-30-1961,58.1
07-31-1961,58.2
08-31-1961,60.7
09-30-1961,63
10-31-1961,62.2
11-30-1961,59
12-31-1961,64.2
01-31-1962,60.9
02-28-1962,61.1
03-31-1962,60.6
04-30-1962,55.1
05-31-1962,52.2
06-30-1962,50.8
07-31-1962,51
08-31-1962,49.5
09-30-1962,50
10-31-1962,51.2
11-30-1962,53.8
12-31-1962,57.2
01-31-1963,55.2
02-28-1963,55.1
03-31-1963,54.7
04-30-1963,57.6
05-31-1963,59.8
06-30-1963,58.2
07-31-1963,55.5
08-31-1963,55.1
09-30-1963,56.9
10-31-1963,57.7
11-30-1963,57.5
12-31-1963,54
