 Date,NAPMPMI Close
04-30-2011,56.3
05-31-2011,54.8
06-30-2011,52.8
07-31-2011,53.1
08-31-2011,54.9
09-30-2011,55
10-31-2011,53.7
11-30-2011,53.3
12-31-2011,54
01-31-2012,50.6
02-29-2012,51.8
03-31-2012,52.4
04-30-2012,53.3
05-31-2012,54.7
06-30-2012,54.8
07-31-2012,53.1
08-31-2012,53
09-30-2012,52.4
10-31-2012,51.4
11-30-2012,50.4
12-31-2012,50.4
01-31-2013,50.5
02-28-2013,51.7
03-31-2013,49.3
04-30-2013,50.1
05-31-2013,53.2
06-30-2013,52.4
07-31-2013,52
08-31-2013,52.1
09-30-2013,54.2
10-31-2013,55.6
11-30-2013,55.3
12-31-2013,53.5
01-31-2014,51.7
02-28-2014,52.9
03-31-2014,53.3
04-30-2014,52.9
05-31-2014,52.2
06-30-2014,53.5
07-31-2014,54.3
08-31-2014,54.8
09-30-2014,53.5
10-31-2014,55.3
11-30-2014,55.3
12-31-2014,53.9
01-31-2015,51
02-28-2015,48.7
03-31-2015,48.9
04-30-2015,49
05-31-2015,49.8
06-30-2015,51.3
07-31-2015,50.8
08-31-2015,49.4
09-30-2015,48.6
10-31-2015,48
11-30-2015,48.6
12-31-2015,47.5
01-31-2016,49.3
02-29-2016,49.4
03-31-2016,51.5
04-30-2016,52.2
05-31-2016,52.1
06-30-2016,51.8
07-31-2016,51.9
08-31-2016,51.1
09-30-2016,50.3
10-31-2016,51.1
11-30-2016,51.5
12-31-2016,51.8
01-31-2017,53.5
02-28-2017,54.7
03-31-2017,55.5
04-30-2017,55.9
05-31-2017,55.1
06-30-2017,54.7
07-31-2017,55.5
08-31-2017,54.6
09-30-2017,55
10-31-2017,54.3
11-30-2017,54.4
12-31-2017,54.7
01-31-2018,55.9
02-28-2018,55.6
03-31-2018,55.7
04-30-2018,55.5
05-31-2018,56.2
06-30-2018,57.1
07-31-2018,56.9
08-31-2018,56.8
09-30-2018,54.8
10-31-2018,53.9
11-30-2018,54.9
12-31-2018,53.6
01-31-2019,53
02-28-2019,52.6
03-31-2019,50.5
04-30-2019,49.7
05-31-2019,49.1
06-30-2019,49.2
07-31-2019,50.2
08-31-2019,49.1
09-30-2019,51
10-31-2019,51.2
11-30-2019,51.4
12-31-2019,50.4
01-31-2020,50.6
02-29-2020,51.8
03-31-2020,46.1
04-30-2020,33
05-31-2020,40.6
06-30-2020,47.8
07-31-2020,52.9
08-31-2020,55.1
09-30-2020,56
10-31-2020,55.5
11-30-2020,55.8
12-31-2020,57.9
01-31-2021,54.4
02-28-2021,54.8
03-31-2021,58.5
04-30-2021,57.2
05-31-2021,57
06-30-2021,56.5
07-31-2021,56.2
08-31-2021,57.2
09-30-2021,57
10-31-2021,57.7
11-30-2021,57.2
12-31-2021,56.5
01-31-2022,56.2
02-28-2022,56.6
03-31-2022,58.9
04-30-2022,56.2
05-31-2022,56.8
06-30-2022,54.6
07-31-2022,52.5
08-31-2022,48.7
09-30-2022,49.8
10-31-2022,48.8
11-30-2022,49.6
12-31-2022,49.2
01-31-2023,51
02-28-2023,52.4
03-31-2023,48.6
04-30-2023,50.2
05-31-2023,49
06-30-2023,48.8
07-31-2023,49.6
08-31-2023,48
09-30-2023,47.5
10-31-2023,48.6
11-30-2023,47.7
12-29-2023,45.4
01-31-2024,48.3
02-29-2024,49.7
03-29-2024,49.8
04-30-2024,49.4
05-31-2024,49.3
06-28-2024,49.3
07-31-2024,47.8
08-30-2024,49.5
09-30-2024,50.4
10-31-2024,51.1
11-29-2024,52
12-31-2024,52.2
1-31-2025,51.6
2-28-2025,47.8
3-31-2025,46.3
4-30-2025,45.3
5-30-2025,46.1
6-30-2025,45.6
7-31-2025,46.1
8-29-2025,48.3
9-30-2025,47.7
10-31-2025,49.6
11-28-2025,48.4
12-31-2025,48.6
1-27-2026,50.4
2-27-2026,51
3-31-2026,50
4-30-2026,53.3
5-29-2026,52.9
