Ticker,Name,Last Price,Market Cap,Trading Region,Trading Country,Below 52W High %,Revenues Est Avg Rev % (FY1E - 1W),Revenues Est Avg Rev % (FY1E - 1M),Revenues Est Avg Rev % (FY1E - 3M),Revenues Est Avg Rev % (FY1E - 6M),Revenues Est Avg Rev % (FY1E - 1Y),Revenues Est Avg Rev % (FY2E - 1W),Revenues Est Avg Rev % (FY2E - 1M),Revenues Est Avg Rev % (FY2E - 3M),Revenues Est Avg Rev % (FY2E - 6M),Revenues Est Avg Rev % (FY2E - 1Y),Revenues Est Avg Rev % (FY3E - 1W),Revenues Est Avg Rev % (FY3E - 1M),Revenues Est Avg Rev % (FY3E - 3M),Revenues Est Avg Rev % (FY3E - 6M),Revenues Est Avg Rev % (FY3E - 1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Total Revenues (-1FY),Total Revenues (-2FY),Total Revenues (-3FY),Total Revenues (-4FY),Total Revenues (-5FY),Total Revenues (-6FY),Total Revenues (-7FY),Total Revenues (-8FY),Total Revenues (-9FY),Total Revenues (-10FY),Sector,Industry,Description
OGG,Osisko Gold Group Inc.,3.83,830.7,United States and Canada,CA,-0.4223,0.0869,1.8468,16.4942,1.7603,4.0787,,,,-0.7488,-0.9178,-0.2453,-0.534,-0.6794,-0.6021,,27.16,3.72,161.5,3.17,23.87,47.3,6.06,,,,,,,Materials,Metals and Mining,Osisko Gold Group Inc. together with its subsidiaries acquires explores and develops precious metals resource properties in Canada Mexico and the United States. The company explores for precious and base metal gold silver lithium copper lead and zinc deposits. Its flagship asset is the 100% owned Cariboo Gold Project which covers an area of approximately 192000 hectares consisting of 443 mineral and placer titles located in British Columbia Canada. The company also holds a portfolio of marketable securities. Osisko Gold Group Inc. was formerly known as Osisko Development Corp. and changed its name to Osisko Gold Group Inc. in July 2026. The company is headquartered in Montreal Canada.
AXL,Arrow Exploration Corp.,0.69,139.88,United States and Canada,CA,-0.0548,0.0292,-0.0038,0.1244,0.1548,0.4727,0.1115,0.0609,0.2644,0.3752,1.4317,0.152,-0.0736,0.3156,0.8841,,136.37,141.45,134.54,73.73,44.67,24.97,6.51,5.32,25.44,6.08,,,,Energy,Oil Gas and Consumable Fuels,Arrow Exploration Corp. operates a junior oil and gas company that engages in the acquisition exploration development and production of oil and gas properties in Colombia and Western Canada. The company is based in Calgary Canada.
AGX,Silver X Mining Corp.,0.93,189.18,United States and Canada,CA,-0.4224,0.0133,0.0624,0.3293,1.4864,1.442,0.0537,0.3421,0.9366,,,0.0625,0.1562,,,,67.38,97.21,127.73,21.85,15.67,13.87,4.94,,,,,,,Materials,Metals and Mining,Silver X Mining Corp. explores develops and produces mineral properties in the Americas. The company explores for silver gold lead and zinc deposits. Its flagship project is the Nueva Recuperada Silver project that covers an area of 20472 hectares located in Huancavelica Peru. The company was formerly known as Oro X Mining Corp. and changed its name to Silver X Mining Corp. in June 2021. Silver X Mining Corp. was incorporated in 2009 and is based in Vancouver Canada.
VLE,Valeura Energy Inc.,15.52,1169.03,United States and Canada,CA,-0.0134,0.0125,0.0287,0.0368,0.0203,0.2263,0.0031,0.0151,0.0462,0.0426,0.1852,0.0119,-0.0019,0.0621,0.0503,,645.51,686.67,617.03,680.68,502.95,,2.99,7.7,9.51,8.76,10.8,11.1,14.03,Energy,Oil Gas and Consumable Fuels,Valeura Energy Inc. together with its subsidiaries operates as an upstream oil and gas company in Thailand and Turkey. It engages in the exploration appraisal development and production of petroleum and onshore natural gas. The company is headquartered in Singapore.
ITR,Integra Resources Corp.,3.82,549.59,United States and Canada,CA,-0.4212,0.0124,0.0201,-0.0494,-0.055,0.4325,0.0402,0.0934,0.03,,1.8711,0.0074,0.0074,-0.1441,,,305.32,383.82,386.85,30.35,,,,,,,,,,Materials,Metals and Mining,Integra Resources Corp. a precious metals producer engages in the exploration and development of mineral properties in the Great Basin of the Western United States. It explores for gold and silver deposits. The company’s flagship projects include DeLamar Project which includes 790 unpatented lode placer and millsite claims and 16 tax parcels comprised of patented mining claims covering an area of 8673 hectares located in southwestern Idaho; and the Nevada North Project located in western Nevada. The company was formerly known as Mag Copper Limited and changed its name to Integra Resources Corp. in August 2017. Integra Resources Corp. was incorporated in 1997 and is headquartered in Vancouver Canada.
TAL,PetroTal Corp.,0.56,365.5,United States and Canada,CA,-0.1884,0.0104,0.0937,0.1398,0.3034,-0.2978,0.0076,-0.0135,0.0199,0.0335,-0.2015,0.0104,-0.0214,0.0157,,,250.64,288.93,299.22,333.99,286.26,327.12,150.23,58.86,73.63,9.99,,,,Energy,Oil Gas and Consumable Fuels,PetroTal Corp. engages in the acquisition exploration appraisal development and production of oil and natural gas properties in Peru. Its flagship property is the 100%-owned Bretaña Norte oil field located within Block 95 in the Marañón Basin of northern Peru. The company was formerly known as Sterling Resources Ltd. and changed its name to PetroTal Corp. in June 2018. PetroTal Corp. is headquartered in Houston Texas.
ARTG,Artemis Gold Inc.,39.2,6482.62,United States and Canada,CA,-0.1967,0.0093,-0.041,-0.0047,-0.1116,0.1186,0.0375,-0.0003,0.0539,-0.0531,0.0768,0.1034,0.2404,0.256,0.2971,0.8841,1079.01,1417.15,2052.41,,,,,,,,,,,Materials,Metals and Mining,Artemis Gold Inc. engages in the identification acquisition and development of gold properties in Canada. The company explores for gold and silver deposits. Its flagship asset is its 100% owned Blackwater Gold project which consists of 328 mineral claims covering an area of 148688 ha located in central British Columbia. Artemis Gold Inc. was incorporated in 2019 and is headquartered in Vancouver Canada.
DHTUN,DRI Healthcare Trust,18.13,706.68,United States and Canada,CA,-0.082,0.0087,0.0083,-0.0055,-0.007,0.0439,0.1319,0.1306,0.0518,0.0464,0.1354,0.1805,0.1861,0.0829,0.0592,0.1919,193.67,213.31,236.22,186.99,166.28,93.03,81.77,,,,,,,Health Care,Pharmaceuticals,DRI Healthcare Trust focuses on managing and growing a portfolio of pharmaceutical royalties. It owns a portfolio of 18 royalties derived from the sale of 14 various pharmaceutical products that focuses on eight therapeutic areas. The company was incorporated in 2020 and is headquartered in Toronto Canada.
CNQ,Canadian Natural Resources Limited,68.41,100012.92,United States and Canada,CA,-0.0545,0.0083,-0.0076,0.0479,0.2988,0.3507,-0.0047,-0.0203,0.0225,0.1073,0.1596,-0.0082,-0.0238,0.0429,0.1124,0.0984,34089.53,30035.27,29785.79,24800.9,27146.28,31240.44,23769.31,13276.28,17613.54,15404.62,13794.26,8509.7,8910.4,Energy,Oil Gas and Consumable Fuels,Canadian Natural Resources Limited engages in the acquisition exploration development production marketing and sale of crude oil natural gas and natural gas liquids (NGLs) in Western Canada the United Kingdom sector of the North Sea and Offshore Africa. The company offers synthetic crude oil (SCO) mining bitumen light and medium crude oil and NGLs thermal bitumen primary heavy crude oil and Pelican Lake heavy crude oil. Its midstream assets include two crude oil pipeline systems; and a 50% working interest in an 84-megawatt cogeneration plant at Primrose. The company was formerly known as AEX Minerals Corporation and changed its name to Canadian Natural Resources Limited in December 1975. Canadian Natural Resources Limited was incorporated in 1973 and is headquartered in Calgary Canada.
SSRM,SSR Mining Inc.,49.83,7205.78,United States and Canada,CA,-0.0857,0.0076,-0.0017,-0.0723,-0.1151,0.1727,0.0191,-0.0039,0.01,-0.0405,0.1631,0.0186,0.0318,-0.0684,-0.1596,,2301.76,2674.75,2474.32,995.62,1426.93,1148.03,1474.2,853.09,606.85,420.68,448.77,490.99,375.32,Materials,Metals and Mining,SSR Mining Inc. together with its subsidiaries engages in the acquisition exploration and development of precious metal resource properties in the United States Türkiye Canada and Argentina. The company explores for gold doré copper silver lead and zinc deposits. It holds interests in the Çöpler located in Erzincan province Turkey; the Marigold situated in Nevada the United States; the Seabee located in Saskatchewan Canada; and the Puna situated in Jujuy province Argentina. The company was formerly known as Silver Standard Resources Inc. and changed its name to SSR Mining Inc. in August 2017. SSR Mining Inc. was incorporated in 1946 and is based in Denver Colorado.
HSLV,Highlander Silver Corp.,7.46,1076.73,United States and Canada,CA,-0.2895,0.0064,,,,,0.0064,,,,,0.0064,,,,,142.39,188.12,226.1,,,,,,,,,,,Materials,Metals and Mining,Highlander Silver Corp. engages in acquisition exploration and evaluation of mineral properties in Peru. It explores gold and silver deposits. The company holds 100% interest in the San Luis project which covers an area of 230 square kilometers located in Peru. It also holds interest in the La Estrella project located in Peru. The company is headquartered in Toronto Canada.
IPCO,International Petroleum Corporation,35.36,2829.29,United States and Canada,CA,-0.1041,0.0058,0.0107,-0.17,0.2006,0.2312,-0.0026,0.0121,0.0023,0.172,0.1837,-0.0041,-0.0041,0.0202,0.0808,0.0964,862.2,1261.33,1421.86,793.04,853.91,1135.96,666.41,324.16,553.75,446.27,199,206.58,172.09,Energy,Oil Gas and Consumable Fuels,International Petroleum Corporation explores for develops and produces oil and gas. The company holds a portfolio of oil and gas production assets and development projects in Canada Malaysia and France. International Petroleum Corporation was incorporated in 2017 and is based in Vancouver Canada.
ELE,Elemental Royalty Corporation,28.54,1301.55,United States and Canada,CA,-0.1677,0.0057,0.0057,0.0175,0.1641,0.8932,0.018,0.018,0.0583,0.0701,2.5236,-0.0593,-0.0593,0.3349,,,97.12,109.58,124.01,16.32,11.74,9.64,6.61,5.12,2.42,1.45,0.51,,,Materials,Metals and Mining,Elemental Royalty Corporation engages in the acquisition and generation of precious and base metal royalties. It is also involved in exploration royalties and royalty generation assets. The company holds royalties in gold silver copper and precious metal projects. In addition it operates in North America; South America; Australia; Africa; and internationally. The company was formerly known as Elemental Altus Royalties Corp. and changed its name to Elemental Royalty Corporation in November 2025. The company is headquartered in Vancouver Canada.
WPM,Wheaton Precious Metals Corp.,202.15,65108.21,United States and Canada,CA,-0.1082,0.0041,-0.0063,-0.0826,-0.143,0.7745,0.0142,0.0125,-0.0512,-0.0939,0.8016,0.0356,0.0577,0.0677,0.0793,0.8569,3731.25,4113.47,4512.34,1284.64,1016.04,1065.05,1201.66,1096.22,861.33,794.01,843.22,891.56,648.69,Materials,Metals and Mining,Wheaton Precious Metals Corp. operates as a precious metal streaming company. It explores for gold silver palladium platinum and cobalt deposits in Canada the United States Mexico Portugal Sweden the United Kingdom Argentina Chile Brazil Peru Ecuador Colombia Côte d'Ivoire Ethiopia and South Africa. The company was formerly known as Silver Wheaton Corp. and changed its name to Wheaton Precious Metals Corp. in May 2017. Wheaton Precious Metals Corp. was founded in 2004 and is headquartered in Vancouver Canada.
CG,Centerra Gold Inc.,31.37,4351.64,United States and Canada,CA,-0.0757,0.0041,-0.0056,0.0691,0.1022,0.4006,-0.0005,-0.0111,0.0638,0.0009,0.2323,0.0028,-0.0399,0.043,0.0166,0.4742,1821.42,1945.63,2425.5,1214.5,1094.9,850.19,900.14,721.26,1375.33,1129.34,1199.03,757.72,623.95,Materials,Metals and Mining,Centerra Gold Inc. engages in the operation development exploration and acquisition of gold and copper properties in North America Turkey and internationally. The company also owns and operates a molybdenum business unit which includes a metallurgical processing facility and two primary molybdenum properties. Its principal assets include the Mount Milligan gold-copper mine located in British Columbia Canada; the Öksüt gold mine located in Türkiye; the Kemess project in British Columbia Canada; the Goldfield District project in Nevada United States; the Thompson Creek Mine in Idaho; and 75% owned the Endako Mine in British Columbia Canada. The company was incorporated in 2002 and is headquartered in Toronto Canada.
DPM,DPM Metals Inc.,62.14,9667.16,United States and Canada,CA,-0.1434,0.0033,-0.0024,0.0143,-0.0288,0.6333,0.0162,0.0055,-0.0004,0.1231,0.7626,0.0015,-0.0007,-0.0114,0.1337,0.3046,1419.55,1573.11,1245.79,606.99,520.09,433.49,641.44,609.56,404.39,377.11,348.76,279.49,225.13,Materials,Metals and Mining,DPM Metals Inc. a gold mining company engages in the acquisition exploration development mining and processing of precious metals. It primarily explores gold copper and silver deposits. The company holds a portfolio of projects located in Bulgaria Bosnia and Herzegovina Serbia and Ecuador. The company was formerly known as Dundee Precious Metals Inc. and changed its name to DPM Metals Inc. in September 2025. DPM Metals Inc. is based in Toronto Canada.
ERO,Ero Copper Corp.,50.93,3767.23,United States and Canada,CA,-0.1005,0.0026,-0.019,0.0315,0.0295,0.2566,0.0038,-0.0119,0.0547,0.1252,0.3439,0.0119,-0.0049,0.0657,0.1302,0.3976,1265.47,1384.98,1335.39,470.26,427.48,426.39,489.92,324.08,284.84,233.1,148.24,,,Materials,Metals and Mining,Ero Copper Corp. engages in the exploration development and production of mining projects in Brazil. Its flagship asset includes Caraíba operations that comprise the production and sale of copper concentrates located in Bahia State Brazil as well as gold and silver produced and sold as by-products. The company was incorporated in 2016 and is headquartered in Vancouver Canada.
