Ticker,Name,Sector,Industry,Last Price,Market Cap,Trading Region,Country,Net Income - (IS) (LTM),Net Income - (IS) (FY),Net Income - (IS) (-1FY),Net Income - (IS) (-2FY),Total Revenues (LTM),Total Revenues (FY),Total Revenues (-1FY),Total Revenues (1YTGLTM),Price Chg. % (1Y),Price Chg. %/CAGR (3Y),Price Chg. %/CAGR (5Y),Price Chg. %/CAGR (10Y)
AA,Alcoa Corporation,Materials,Metals and Mining,67.11,17709.65,United States and Canada,US,1034,1157,60,-651,12655,12831,11895,-0.0008,1.3351,0.2389,0.1241,
AADX,Applied Aerospace & Defense Inc.,Industrials,Aerospace and Defense,21.385,3651.35,United States and Canada,US,-24.84,-17.02,-34.77,,522.09,498.76,399.79,,,,,
AAL,American Airlines Group Inc.,Industrials,Passenger Airlines,13.605,8998.14,United States and Canada,US,202,111,846,822,55994,54633,54211,0.0333,0.2301,-0.0439,-0.1037,-0.0851
AAMI,Acadian Asset Management Inc.,Financials,Capital Markets,77.74,2769.8,United States and Canada,US,84.2,80,85,65.8,610.8,563.7,505.6,0.1751,1.464,0.5039,0.2786,0.1839
AAOI,Applied Optoelectronics Inc.,Information Technology,Communications Equipment,166.236,13339.24,United States and Canada,US,-43.34,-38.23,-186.73,-56.05,507,455.71,249.37,0.6432,9.186,2.714,0.7997,0.3209
AAON,AAON Inc.,Industrials,Building Products,122.955,10071.45,United States and Canada,US,118.12,107.59,168.56,177.62,1616.96,1442.08,1200.63,0.2827,0.621,0.2445,0.2333,0.211
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Specialty Retail,59.524,3591.04,United States and Canada,US,44,44,-335.79,29.73,8632,8601,9094.33,-0.0307,0.1554,-0.0217,-0.2147,-0.09
AB,AllianceBernstein Holding L.P.,Financials,Capital Markets,36.67,3425.12,United States and Canada,US,311.04,299.84,423.37,264.18,,,,,-0.0928,0.022,-0.0439,0.0478
ABCB,Ameris Bancorp,Financials,Banks,86.269,5785.69,United States and Canada,US,434.71,412.15,358.69,269.11,1172.46,1138.62,1082.45,0.0656,0.3781,0.3416,0.0971,0.1057
ABG,Asbury Automotive Group Inc.,Consumer Discretionary,Specialty Retail,196.349,3655.78,United States and Canada,US,547.7,492,430.3,602.5,17963.5,17999,17188.6,0.0483,-0.1922,-0.046,0.0208,0.1368
ABM,ABM Industries Incorporated,Industrials,Commercial Services and Supplies,45.096,2641.77,United States and Canada,US,158.4,162.4,81.4,251.3,9052.8,8745.9,8359.4,0.0653,-0.0279,-0.0093,-0.0143,0.0191
ACA,Arcosa Inc.,Industrials,Construction and Engineering,123.359,6056.48,United States and Canada,US,222.6,208.4,93.7,159.2,2907.5,2883.4,2569.9,0.1543,0.3814,0.1896,0.1508,
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Biotechnology,21.394,3663.42,United States and Canada,US,375.65,391,226.45,-61.29,1095.25,1071.51,957.8,0.0993,-0.0406,-0.0469,-0.0484,-0.0597
ACHC,Acadia Healthcare Company Inc.,Health Care,Health Care Providers and Services,24.385,2242.62,United States and Canada,US,-1107.04,-1102.77,255.61,-21.67,3371.07,3312.77,3153.96,0.068,0.0709,-0.2899,-0.1849,-0.0884
