Ticker,Name,Sector,Industry,Last Price,Market Cap,Trading Region,Country,Net Income - (IS) (LTM),Net Income - (IS) (FY),Net Income - (IS) (-1FY),Net Income - (IS) (-2FY),Total Revenues (LTM),Total Revenues (FY),Total Revenues (-1FY),Total Revenues (1YTGLTM),Price Chg. % (1Y),Price Chg. %/CAGR (3Y),Price Chg. %/CAGR (5Y),Price Chg. %/CAGR (10Y)
A,Agilent Technologies Inc.,Health Care,Life Sciences Tools and Services,128.813,36380.91,United States and Canada,US,1414,1303,1289,1240,7232,6948,6510,0.0911,0.076,0.0361,-0.0214,0.1099
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage and Peripherals,293.324,4308154.01,United States and Canada,US,122575,112010,93736,96995,451442,416161,391035,0.1276,0.4756,0.1742,0.1815,0.2805
ABBV,AbbVie Inc.,Health Care,Biotechnology,225.616,398616.73,United States and Canada,US,3635,4226,4278,4863,62819,61160,56334,0.095,0.1782,0.177,0.1434,0.1396
ABNB,Airbnb Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,128.834,76463.61,United States and Canada,US,2517,2511,2648,4792,12647,12241,11102,0.126,-0.0668,0.03,-0.0279,
ABT,Abbott Laboratories,Health Care,Health Care Equipment and Supplies,89.484,155864.41,United States and Canada,US,6276,6524,13402,5723,45134,44328,41950,0.0659,-0.3385,-0.0416,-0.0403,0.0882
ADBE,Adobe Inc.,Information Technology,Software,221.742,89628.12,United States and Canada,US,7208,7130,5560,5428,24453,23769,21505,0.1096,-0.4629,-0.212,-0.1634,0.086
ADI,Analog Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,402.425,196016,United States and Canada,US,3313.43,2267.34,1635.27,3314.58,12740.19,11019.71,9427.16,0.2975,0.7306,0.3007,0.1914,0.2157
ADM,Archer-Daniels-Midland Company,Consumer Staples,Food Products,80.502,38798.46,United States and Canada,US,1081,1078,1800,3483,80584,80269,85530,-0.039,0.654,0.0352,0.0405,0.0646
ADP,Automatic Data Processing Inc.,Industrials,Professional Services,228.502,91340.08,United States and Canada,US,4345.6,4079.7,3752,3412,21600.4,20560.9,19202.6,0.0692,-0.2685,0.0201,0.0273,0.1012
ADSK,Autodesk Inc.,Information Technology,Software,215.263,45451.76,United States and Canada,US,1463,1124,1112,906,7507,7206,6131,0.1828,-0.2746,0.0224,-0.0495,0.1436
