ETF,Ticker
GRNY,GE
GRNY,ANET
GRNY,GOOGL
GRNY,AVGO
GRNY,COST
GRNY,EMR
GRNY,BK
GRNY,AXP
GRNY,LYV
GRNY,AXON
GRNY,CAT
GRNY,PWR
GRNY,GRMN
GRNY,CDNS
GRNY,VST
GRNY,MNST
GRNY,NVDA
GRNY,WTW
GRNY,MSTR
GRNY,MSFT
GRNY,GEV
GRNY,JPM
GRNY,PANW
GRNY,SPGI
GRNY,PLTR
GRNY,HOOD
GRNY,NFLX
GRNY,AMD
GRNY,GS
GRNY,ETN
GRNY,EXPE
GRNY,TSLA
GRNY,META
GRNY,AMZN
GRNY,KLAC
GRNY,LRCX
GRNY,AAPL
GRNY,CRWD
GRNY,ORCL
GRNJ,NBIS
GRNJ,BE
GRNJ,IONQ
GRNJ,RKLB
GRNJ,STRL
GRNJ,ON
GRNJ,SANM
GRNJ,LITE
GRNJ,RIOT
GRNJ,LSCC
GRNJ,DINO
GRNJ,FN
GRNJ,FIX
GRNJ,ENS
GRNJ,GLXY
GRNJ,IESC
GRNJ,P
GRNJ,UTHR
GRNJ,CRS
GRNJ,DTM
GRNJ,EXEL
GRNJ,MLI
GRNJ,VMI
GRNJ,MP
GRNJ,SATS
GRNJ,NXT
GRNJ,CW
GRNJ,H
GRNJ,EWBC
GRNJ,ALLY
GRNJ,BWXT
GRNJ,ALB
GRNJ,TLN
GRNJ,DY
GRNJ,CARR
GRNJ,RDDT
GRNJ,PATH
GRNJ,HALO
GRNJ,ITT
GRNJ,WTS
GRNJ,CCJ
GRNJ,MDB
GRNJ,SN
GRNJ,UUUU
GRNJ,DPZ
GRNJ,WAL
GRNJ,AWI
GRNJ,SOFI
GRNJ,RGLD
GRNJ,DCI
GRNJ,HII
GRNJ,ARRY
GRNJ,SGI
GRNJ,UHS
GRNJ,AVAV
GRNJ,IBP
GRNJ,ELF
GRNJ,KTOS
GRNJ,WFRD
