Ticker,Name,Sector,Industry,Price Chg. % (6M),Market Cap,Last Price,Trading Region,Description
SLG,San Lorenzo Gold Corp.,Materials,Metals and Mining,4.8312,342.98,4.49,United States and Canada,San Lorenzo Gold Corp. engages in the acquisition and development of mineral properties in Chile. The company explores for gold copper silver and cobalt deposits. It primarily holds a 100% interest in the Salvadora project covering an area of 9062 hectares located in Atacama Region Chile. The company is headquartered in Calgary Canada.
PGDC,Patagonia Gold Corp.,Materials,Metals and Mining,2.871,202.08,0.6,United States and Canada,Patagonia Gold Corp. engages in the acquisition exploration and development of mineral properties and reserves in Argentina and Chile. It explores gold and silver as well as vein-type deposits. The company is based in Vancouver Canada.
PML,Panoro Minerals Ltd.,Materials,Metals and Mining,2.7222,295.93,1.34,United States and Canada,Panoro Minerals Ltd. an exploration-stage company engages in the acquisition exploration and development of mineral properties in Peru. It explores for copper molybdenum lead gold silver and zinc deposits. The company’s flagship project is the Cotabambas project a porphyry copper-gold-silver deposit located southwest of the city of Cusco the Apurimac region in Southern Peru. The company was formerly known as Panoro Resources Ltd. and changed its name to Panoro Minerals Ltd. in June 2003. Panoro Minerals Ltd. was incorporated in 1994 and is headquartered in Vancouver Canada.
BITZU,Bitzero Holdings Inc.,Utilities,Independent Power and Renewable Electricity Producers,2.5019,507.82,9.21,United States and Canada,InvalidIdentifier
MAXX,Max Power Mining Corp.,Materials,Metals and Mining,2.4923,265.38,2.27,United States and Canada,Max Power Mining Corp. a junior mineral exploration company engages in the acquisition exploration and evaluation of natural resource properties. It operates through Mineral Exploration Properties and Research and Development segments. The company explores for lithium nickel cobalt copper platinum group element and hydrogen deposits. It holds a portfolio of properties in the United States and Canada. Max Power Mining Corp. was incorporated in 2021 and is based in Saskatoon Canada.
TWM,Tidewater Midstream and Infrastructure Ltd.,Energy,Oil Gas and Consumable Fuels,2.4538,282.1,17.96,United States and Canada,Tidewater Midstream and Infrastructure Ltd. operates as a downstream midstream and infrastructure company in Western Canada and the United States. It primarily focuses on processing natural gas natural gas liquids (NGLs) crude oil refined products and renewable products and services as well as refining of light oil. The company also engages in the sale of refined products including low sulfur diesel renewable diesel and gasoline; natural gas NGL extraction as well as renewable fuels and emissions credits; and purchases transports sells stores and blends both NGLs and crude oil. The company was incorporated in 2015 and is headquartered in Calgary Canada.
ACM,Allied Critical Metals Inc.,Materials,Metals and Mining,2.2373,247.49,1.91,United States and Canada,Allied Critical Metals Inc. operates as a mining exploration and development company in Canada. The company’s flagship asset is the Borralha tungsten project located to the northeast of Porto. Allied Critical Metals Inc. is headquartered in Vancouver Canada.
EOG,Eco (Atlantic) Oil & Gas Ltd.,Energy,Oil Gas and Consumable Fuels,1.8116,242.87,0.97,United States and Canada,Eco (Atlantic) Oil & Gas Ltd. engages in the identifying acquiring and exploring oil and gas assets in the Co-Operative Republic of Guyana Republic of Namibia and South Africa. The company holds a 100% working interest in the Orinduik block comprising 1354 square kilometers located in the Suriname Guyana basin; and 17.5% interests in the Canje Block covering an area of 4800 square kilometers located in Guyana. It also holds 85% working interest in the Cooper Block which covers an area of approximately 5788 square kilometers; Sharon Block which covers an area of approximately 5700 square kilometers; Guy License covering an area of approximately 11457 square kilometers; and Tamar Block that covers an area of approximately 5649 square kilometers located in the Walvis Basin offshore Namibia. In addition the company holds two offshore petroleum licenses in South Africa including 2B Block and the 3B/4B Block. Eco (Atlantic) Oil & Gas Ltd. is headquartered in Toronto Canada.
SOIL,Saturn Oil & Gas Inc.,Energy,Oil Gas and Consumable Fuels,1.6805,921.48,7.13,United States and Canada,Saturn Oil & Gas Inc. engages in the acquisition exploration and development of petroleum and natural gas resource deposits in Canada. The company is involved in the exploration and development of light oil assets in the Oxbow area of Southeast Saskatchewan; Viking light oil assets in West-Central Saskatchewan; and Cardium light oil assets in Central Alberta. Saturn Oil & Gas Inc. was incorporated in 2001 and is headquartered in Calgary Canada.
LCFS,Tidewater Renewables Ltd.,Energy,Oil Gas and Consumable Fuels,1.6265,290.94,11.11,United States and Canada,Tidewater Renewables Ltd. engages in production of renewable fuel in North America. Its flagship asset is the renewable diesel & renewable hydrogen complex that is located adjacent to the Prince George Refinery. It intends to focus on the production of low carbon fuels including renewable diesel renewable hydrogen and renewable natural gas. Tidewater Renewables Ltd. was incorporated in 2021 and is headquartered in Calgary Canada. Tidewater Renewables Ltd. operates as a subsidiary of Tidewater Midstream and Infrastructure Ltd.
OM,Osisko Metals Incorporated,Materials,Metals and Mining,1.6207,817.47,1.52,United States and Canada,Osisko Metals Incorporated together with its subsidiaries engages in acquiring exploring and developing base metals deposits in Canada. The company explores for copper zinc lead and molybdenum deposits. Its flagship project is the Gaspé project located near Murdochville in the Gaspé peninsula of Eastern Québec. The company was formerly known as Bowmore Exploration Ltd. and changed its name to Osisko Metals Incorporated in June 2017. Osisko Metals Incorporated is headquartered in Toronto Canada.
FEC,Frontera Energy Corporation,Energy,Oil Gas and Consumable Fuels,1.5057,764.74,15.46,United States and Canada,Frontera Energy Corporation engages in the exploration development production transportation storage and sale of oil and natural gas in South America. The company has a portfolio of assets which consists of interests in 17 exploration and production blocks in Colombia and Guyana; and pipeline transportation and port facilities in Colombia. It also engages in onshore and colombian infrastructure business. The company was formerly known as Pacific Exploration & Production Corporation and changed its name to Frontera Energy Corporation in June 2017. Frontera Energy Corporation was incorporated in 1985 and is headquartered in Calgary Canada.
HG,HydroGraph Clean Power Inc.,Materials,Chemicals,1.4741,1677.17,6.68,United States and Canada,HydroGraph Clean Power Inc. engages in the acquisition and development of graphene and hydrogen related products and services. The company is involved in the research development marketing and commercialization of patented technology to produce pristine graphene graphene derivatives and services as well as hydrogen syngas and other products. HydroGraph Clean Power Inc. was incorporated in 2017 and is headquartered in Vancouver Canada.
NAU,Nevgold Corp.,Materials,Metals and Mining,1.4699,242.49,2.05,United States and Canada,Nevgold Corp. engages in the exploration and development of mineral properties in North America Canada and the United States. It explores for gold and copper deposits. The company owns 100% interests in the Limousine Butte and Cedar Wash projects located in Nevada the United States; and Zeus Copper Property located in Idaho. It also has an option to acquire a 100% interest in the Nutmeg Mountain Gold Project located in Idaho. Nevgold Corp. is headquartered in Vancouver Canada.
DBG,Doubleview Gold Corp.,Materials,Metals and Mining,1.4,441.01,2.64,United States and Canada,Doubleview Gold Corp. engages in the acquisition exploration and development of mineral resource properties in Canada. The company explores for cobalt scandium copper gold silver and zinc deposits. Its flagship project is the 100% owned Hat Project which consists of nineteen mineral claims covering approximately an area of 18114 hectares located in Telegraph Creek British Columbia. The company was formerly known as Doubleview Capital Corp. and changed its name to Doubleview Gold Corp. in May 2020. Doubleview Gold Corp. was incorporated in 2008 and is headquartered in Vancouver Canada.
