signal,kind,n_firings,n_turns,hit_rate,median_lead,median_nearest,pct_late,recall,fwd4,base4,edge4,fwd8,base8,edge8,fwd13,base13,edge13,p_value,fwd26,base26,edge26,ratio,theta,universe,n_peaks,n_troughs
wRSI > 70,top,19,9,31.57894736842105,2.5,2.5,0.0,44.44444444444444,2.1219313895866097,0.8975602697067887,1.2243711198798208,0.3194504644148541,1.7890824617309045,-1.4696319973160503,3.158293069350449,2.939417655362787,0.21887541398766208,0.5705,8.459067792431606,5.994033150042925,2.465034642388681,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
wRSI > 75,top,11,9,36.36363636363637,6.0,6.0,0.0,22.22222222222222,1.9979012015510946,0.8975602697067887,1.1003409318443058,2.2895637497020185,1.7890824617309045,0.500481287971114,4.762753373227076,2.939417655362787,1.823335717864289,0.7885,7.643123695866202,5.994033150042925,1.6490905458232774,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Channel z > +1.5,top,24,9,29.166666666666668,3.0,2.5,30.0,55.55555555555556,2.2774660580995083,0.8975602697067887,1.3799057883927195,1.155787826040501,1.7890824617309045,-0.6332946356904035,3.4966360851881575,2.939417655362787,0.5572184298253706,0.6265,6.165620836304724,5.994033150042925,0.1715876862617991,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Channel z > +2.0,top,15,9,33.33333333333333,2.0,1.5,16.666666666666664,44.44444444444444,2.166837790659551,0.8975602697067887,1.269277520952762,0.32609078892239807,1.7890824617309045,-1.4629916728085064,0.9197035353778205,2.939417655362787,-2.0197141199849664,0.17,1.659196836535691,5.994033150042925,-4.334836313507234,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
40w stretch z > +1.5,top,16,9,31.25,7.0,4.5,16.666666666666664,33.33333333333333,1.7570866834101342,0.8975602697067887,0.8595264137033455,2.1373711403002766,1.7890824617309045,0.3482886785693722,3.309111407943445,2.939417655362787,0.36969375258065806,0.61,6.1770190005444885,5.994033150042925,0.1829858505015638,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Composite > +1.0,top,37,9,27.027027027027028,4.0,2.0,23.076923076923077,77.77777777777779,-0.06686527499916331,0.8975602697067887,-0.964425544705952,1.5256448048469324,1.7890824617309045,-0.263437656883972,3.7848983128210127,2.939417655362787,0.8454806574582259,0.748,8.060453831175295,5.994033150042925,2.06642068113237,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Composite > +1.5,top,24,9,37.5,3.0,3.0,0.0,55.55555555555556,1.7266132089688024,0.8975602697067887,0.8290529392620137,1.0469200716338487,1.7890824617309045,-0.7421623900970558,2.981349185123017,2.939417655362787,0.04193152976023029,0.503,5.542433637908003,5.994033150042925,-0.4515995121349219,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Monthly RSI > 70,top,25,9,28.000000000000004,7.0,1.0,36.36363636363637,44.44444444444444,0.038936390093780915,0.8975602697067887,-0.8586238796130078,2.521745323374068,1.7890824617309045,0.7326628616431636,2.4620967888147134,2.939417655362787,-0.4773208665480735,0.396,6.640870999447706,5.994033150042925,0.6468378494047817,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
13w ROC crosses < 0,top,25,9,12.0,8.0,-4.5,75.0,33.33333333333333,0.6614495797853531,0.8975602697067887,-0.23611068992143558,1.901952151640575,1.7890824617309045,0.11286968990967061,3.0266244511155804,2.939417655362787,0.08720679575279355,0.525,6.200848396979473,5.994033150042925,0.2068152469365483,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Ratio crosses < 40w MA,top,16,9,12.5,9.0,-5.0,75.0,22.22222222222222,2.6754750046314153,0.8975602697067887,1.7779147349246265,4.000696821449872,1.7890824617309045,2.2116143597189675,4.548556164890262,2.939417655362787,1.609138509527475,0.786,5.313234524726285,5.994033150042925,-0.6807986253166396,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Extended + ROC cross,top,5,9,20.0,8.0,-1.0,66.66666666666666,11.11111111111111,-0.3290889118983008,0.8975602697067887,-1.2266491816050895,0.07606826790903956,1.7890824617309045,-1.7130141938218648,0.1937793953759261,2.939417655362787,-2.745638259986861,0.219,1.391478776417705,5.994033150042925,-4.602554373625219,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
wRSI < 30,bottom,3,8,100.0,0.0,0.0,0.0,37.5,8.186113481998639,0.8975602697067887,7.28855321229185,10.1750971391108,1.7890824617309045,8.386014677379896,12.403128868815495,2.939417655362787,9.463711213452708,0.03,17.923078046461292,5.994033150042925,11.929044896418368,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Channel z < -1.5,bottom,9,8,77.77777777777779,2.0,0.0,33.33333333333333,62.5,2.3472508635737763,0.8975602697067887,1.4496905938669875,5.376339383711063,1.7890824617309045,3.587256921980158,6.543933823586818,2.939417655362787,3.6045161682240314,0.1,13.31947750716623,5.994033150042925,7.325444357123305,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Channel z < -2.0,bottom,4,8,75.0,1.0,0.5,25.0,37.5,5.109476123999038,0.8975602697067887,4.211915854292249,2.2750043358858134,1.7890824617309045,0.48592187415490895,6.567575278670551,2.939417655362787,3.6281576233077644,0.1805,14.368817380392674,5.994033150042925,8.37478423034975,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
40w stretch z < -1.5,bottom,10,8,80.0,4.0,3.0,22.22222222222222,62.5,0.5464087352579293,0.8975602697067887,-0.3511515344488594,2.171861390279409,1.7890824617309045,0.3827789285485046,1.8657813743536469,2.939417655362787,-1.07363628100914,0.648,6.656878614703913,5.994033150042925,0.6628454646609887,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Composite < -1.0,bottom,12,8,75.0,4.0,2.0,27.27272727272727,75.0,0.6257001587847357,0.8975602697067887,-0.271860110922053,2.8425551814743657,1.7890824617309045,1.0534727197434612,3.2930665582727716,2.939417655362787,0.35364890290998474,0.4135,8.568501180504134,5.994033150042925,2.574468030461209,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Composite < -1.5,bottom,9,8,77.77777777777779,2.0,2.0,22.22222222222222,62.5,2.792041076390144,0.8975602697067887,1.8944808066833554,3.578942027076722,1.7890824617309045,1.7898595653458174,5.946669260876618,2.939417655362787,3.007251605513831,0.1325,10.425762542068583,5.994033150042925,4.431729392025658,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
13w ROC crosses > 0,bottom,27,8,11.11111111111111,11.0,-7.0,77.77777777777779,25.0,0.7629549384547643,0.8975602697067887,-0.13460533125202445,2.191901233571792,1.7890824617309045,0.4028187718408873,2.2799375170580722,2.939417655362787,-0.6594801383047146,0.6435,7.904916779493898,5.994033150042925,1.9108836294509732,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Ratio crosses > 40w MA,bottom,14,8,0.0,,-8.0,100.0,0.0,1.0415015668541447,0.8975602697067887,0.14394129714735604,1.3653218666514881,1.7890824617309045,-0.4237605950794163,2.959525095106312,2.939417655362787,0.020107439743525024,0.4925,4.94476909965099,5.994033150042925,-1.049264050391935,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Washed + ROC cross,bottom,3,8,66.66666666666666,7.5,-2.0,66.66666666666666,12.5,0.6634014032434207,0.8975602697067887,-0.23415886646336803,1.9209252064630569,1.7890824617309045,0.1318427447321524,0.026157628646346964,2.939417655362787,-2.91326002671644,0.7305,10.916843011171105,5.994033150042925,4.92280986112818,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
Washed + MA cross,bottom,2,8,0.0,,-8.5,100.0,0.0,4.953573550672219,0.8975602697067887,4.056013280965431,5.505290992426037,1.7890824617309045,3.7162085306951322,8.35674066575305,2.939417655362787,5.4173230103902625,0.1475,15.169378196729454,5.994033150042925,9.17534504668653,Semis / AI Hardware,12.666238997907845,Price ratios,9,8
wRSI > 70,top,28,8,10.714285714285714,5.0,5.0,0.0,37.5,2.506917804105575,1.8552148933661952,0.6517029107393799,5.547589233201092,3.7901453924781405,1.7574438407229511,10.907410044345559,6.2736095066864195,4.633800537659139,0.9635,25.25812138513739,13.496193046420915,11.761928338716475,AI Hardware Basket,17.84299843368615,Price ratios,8,8
wRSI > 75,top,16,8,12.5,8.0,8.0,0.0,12.5,3.4295279250693422,1.8552148933661952,1.574313031703147,7.454601697434763,3.7901453924781405,3.664456304956622,14.074623478099442,6.2736095066864195,7.801013971413022,0.988,26.82750409782385,13.496193046420915,13.331311051402936,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Channel z > +1.5,top,22,8,18.181818181818183,6.5,6.0,33.33333333333333,50.0,3.4225138077959723,1.8552148933661952,1.567298914429777,5.964242421912686,3.7901453924781405,2.174097029434545,10.555121143236287,6.2736095066864195,4.281511636549867,0.933,22.164740504421534,13.496193046420915,8.668547458000619,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Channel z > +2.0,top,11,8,9.090909090909092,7.0,3.0,50.0,12.5,4.345257657052513,1.8552148933661952,2.4900427636863176,9.278798259185043,3.7901453924781405,5.488652866706903,15.232337561585023,6.2736095066864195,8.958728054898604,0.984,31.08490812584788,13.496193046420915,17.58871507942696,AI Hardware Basket,17.84299843368615,Price ratios,8,8
40w stretch z > +1.5,top,18,8,11.11111111111111,7.0,7.0,0.0,12.5,3.0273605092096036,1.8552148933661952,1.1721456158434085,6.7698625083861295,3.7901453924781405,2.979717115907989,12.880380781735706,6.2736095066864195,6.606771275049287,0.9835,27.33485738050876,13.496193046420915,13.838664334087843,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Composite > +1.0,top,38,8,18.421052631578945,7.0,5.0,12.5,62.5,3.902249221554803,1.8552148933661952,2.047034328188608,5.721946785729804,3.7901453924781405,1.9318013932516633,10.64940860968785,6.2736095066864195,4.37579910300143,0.9705,22.942236935660056,13.496193046420915,9.44604388923914,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Composite > +1.5,top,27,8,7.4074074074074066,6.5,6.0,33.33333333333333,25.0,1.8887971894965063,1.8552148933661952,0.03358229613031116,6.289034598685509,3.7901453924781405,2.4988892062073687,11.140926283197475,6.2736095066864195,4.867316776511055,0.9685,25.301506221450676,13.496193046420915,11.805313175029761,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Monthly RSI > 70,top,41,8,14.634146341463413,5.0,1.0,45.45454545454545,62.5,2.7230142691448367,1.8552148933661952,0.8677993757786415,5.1146598914443135,3.7901453924781405,1.324514498966173,9.946073014402955,6.2736095066864195,3.672463507716536,0.9515,17.96989164313305,13.496193046420915,4.4736985967121345,AI Hardware Basket,17.84299843368615,Price ratios,8,8
13w ROC crosses < 0,top,18,8,5.555555555555555,8.0,-5.5,83.33333333333334,12.5,0.44545025650916664,1.8552148933661952,-1.4097646368570285,4.54961971926815,3.7901453924781405,0.7594743267900093,7.8270999767371485,6.2736095066864195,1.553490470050729,0.683,12.153790013502284,13.496193046420915,-1.3424030329186305,AI Hardware Basket,17.84299843368615,Price ratios,8,8
Ratio crosses < 40w MA,top,14,8,0.0,,-7.0,100.0,0.0,2.0523375092562026,1.8552148933661952,0.19712261589000746,6.480427032405985,3.7901453924781405,2.6902816399278446,10.574499348902489,6.2736095066864195,4.300889842216069,0.8805,15.820654655151358,13.496193046420915,2.3244616087304433,AI Hardware Basket,17.84299843368615,Price ratios,8,8
