Ticker,Name,Sector,Industry,Price,MarketCap,PriceChg1Y,PriceChg3Y,PriceChg5Y,PriceChg10Y,Sales_D,Sales_Pct,Profits_D,Profits_Pct,Q,P,O,Score_Sector,Score_Sector_Adj,Score_Ind,Score_Ind_Adj,Rank_Sales_D,Rank_Price3Y,Rank_Sales_TotalShare,Rank_Profits_D,Rank_Sales_D_Sec,Rank_Price3Y_Sec,Rank_Sales_D_Ind,Rank_Price3Y_Ind,Sales_D_SecShare,Sales_D_IndShare,OnGRNJ
ALM,Almonty Industries Inc.,Materials,Metals and Mining,17.21,4964.75,2.8849,2.1875,0.7148,,39.814824945295406,1.5538201772899956,193.72,-1.6422516107154967,0.5,2.0,4,349.6666666666667,349.6666666666667,19.666666666666668,19.666666666666668,1006.0,2.0,1276.0,158.0,42.0,1.0,16.0,1.0,0.001237379136657786,0.0026340024088118263,False
GLXY,Galaxy Digital Inc.,Financials,Capital Markets,24.76,9678.41,-0.0685,0.8792,0.0311,,55147.50982470849,-0.04871220540823684,-1.4399999999999977,0.005966438781852101,0.5,1.0,2,2.0,2.0,1.0,1.0,1.0,40.0,10.0,883.0,1.0,4.0,1.0,1.0,0.3002766681722263,0.5272131806549788,True
AXTI,AXT Inc.,Information Technology,Semiconductors and Semiconductor Equipment,67.397,4326.63,21.1701,2.043,0.4896,0.3212,39.43222755640902,0.42092154420921557,25.310000000000002,-1.1904985888993416,0.75,3.0,4,384.6666666666667,384.6666666666667,58.0,58.0,1008.0,3.0,1262.0,604.0,145.0,1.0,28.0,1.0,0.0004143780733069841,0.005846430578985211,False
SMCI,Super Micro Computer Inc.,Information Technology,Technology Hardware Storage and Peripherals,38.727,25442.3,-0.118,0.113,0.6026,0.3375,17091.60366331065,0.7778535811877276,1181.6,1.1265671926395577,0.8571428571428571,6.0,7,31.0,1000.0,2.0,1000.0,6.0,598.0,24.0,18.0,1.0,86.0,1.0,4.0,0.17960907193481998,0.7539329246487672,False
DAVE,Dave Inc.,Financials,Consumer Finance,360.136,4593.72,0.6809,2.7042,0.0237,,210.59476216107112,0.16144573965137687,26.769999999999982,0.13667228263644238,1.0,1.0,1,238.0,238.0,45.0,45.0,592.0,1.0,1128.0,594.0,121.0,1.0,13.0,1.0,0.00114668266467974,0.030700927603428126,False
BG,Bunge Global SA,Consumer Staples,Food Products,125.07,24028.34,0.5189,0.0362,0.1043,0.0728,40958.201240791,0.3055638499054445,191.0,0.23406862745098045,1.0,2.0,2,7.333333333333333,7.333333333333333,2.6666666666666665,2.6666666666666665,2.0,814.0,4.0,160.0,1.0,19.0,1.0,6.0,0.5804347428352176,0.8707685626070046,False
CNC,Centene Corporation,Health Care,Health Care Providers and Services,65.566,32389.28,1.0968,0.0008,0.0188,0.0696,20658.170355941198,0.023576363460894312,1574.0,-0.23584057536709624,1.3333333333333333,4.0,3,45.333333333333336,45.333333333333336,8.666666666666666,8.666666666666666,4.0,900.0,1.0,8.0,1.0,131.0,1.0,24.0,0.3132173738846502,0.522419905849496,False
SNEX,StoneX Group Inc.,Financials,Capital Markets,69.25,8352.71,0.6197,0.5659,0.3959,0.2496,26373.866688818744,0.19012327947702667,221.0,0.7224583197123244,1.5,3.0,2,4.666666666666667,4.666666666666667,2.3333333333333335,2.3333333333333335,3.0,101.0,2.0,132.0,2.0,9.0,2.0,3.0,0.14360497584224008,0.25213559392581375,False
SUN,Sunoco LP,Energy,Oil Gas and Consumable Fuels,77.881,10661.65,0.5416,0.2006,0.1608,0.1009,17992.148685502347,0.5706122772905837,634.0,1.2030360531309299,2.5,5.0,2,10.0,10.0,6.666666666666667,6.666666666666667,5.0,402.0,22.0,43.0,1.0,24.0,1.0,18.0,0.21691058477585504,0.225293599150818,False
WGS,GeneDx Holdings Corp.,Health Care,Health Care Providers and Services,85.451,2548.37,-0.3217,1.6357,-0.2188,,92.10341731781216,0.06289469991111929,-85.34,4.059942911512845,2.5,5.0,2,318.3333333333333,318.3333333333333,41.666666666666664,41.666666666666664,860.0,5.0,1193.0,1185.0,94.0,1.0,30.0,1.0,0.0013964639656381993,0.00232918297092802,False
