Ticker,Name,Sector,Industry,Price,MarketCap,PriceChg1Y,PriceChg3Y,PriceChg5Y,PriceChg10Y,Sales_D,Sales_Pct,Profits_D,Profits_Pct,Q,P,O,Score_Sector,Score_Sector_Adj,Score_Ind,Score_Ind_Adj,Rank_Sales_D,Rank_Price3Y,Rank_Sales_TotalShare,Rank_Profits_D,Rank_Sales_D_Sec,Rank_Price3Y_Sec,Rank_Sales_D_Ind,Rank_Price3Y_Ind,Sales_D_SecShare,Sales_D_IndShare,OnGRNY
APP,AppLovin Corporation,Information Technology,Software,490.666,164834.1,0.2797,1.7795,0.4285,,2459.5262581885927,0.12470441839758273,629.1999999999998,0.18873640794900637,0.3333333333333333,1.0,3,45.0,45.0,9.666666666666666,9.666666666666666,112.0,1.0,261.0,59.0,22.0,1.0,6.0,1.0,0.006055987840944381,0.030068181623346846,False
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,237.088,2550381.56,0.112,0.2423,0.0721,0.2076,92473.0758185956,0.036059610223677874,13128.0,0.1690227887215141,0.5,2.0,4,4.666666666666667,1000.0,1.3333333333333333,1000.0,2.0,99.0,1.0,5.0,1.0,11.0,1.0,2.0,0.6300435997462542,0.9862200076057178,True
RKLB,Rocket Lab Corporation,Industrials,Aerospace and Defense,110.016,63684.68,3.0211,1.7546,0.6003,,213.57163409449356,0.1292455965437025,15.590000000000003,-0.07865395287826049,0.5,2.0,4,100.0,100.0,18.0,18.0,258.0,2.0,294.0,208.0,41.0,1.0,12.0,1.0,0.0018291914043447645,0.0038822234265535106,False
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,347.679,4226276.41,0.9604,0.4155,0.2339,0.252,62772.159216687956,0.04880894458290719,28038.0,0.21213588560187646,0.6,3.0,5,2.3333333333333335,2.3333333333333335,1.0,1.0,3.0,49.0,5.0,2.0,1.0,3.0,1.0,1.0,0.45324323444896053,0.5846178458102136,True
LITE,Lumentum Holdings Inc.,Information Technology,Communications Equipment,865.828,67361.42,9.5127,1.5625,0.6066,0.4277,1015.7996922712748,0.5127051671732523,414.0,15.984555984555985,0.6666666666666666,4.0,6,75.66666666666667,75.66666666666667,13.666666666666666,13.666666666666666,189.0,4.0,290.0,79.0,36.0,2.0,4.0,1.0,0.0025011607681556143,0.09557626383721812,False
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage and Peripherals,293.324,4308154.01,0.4756,0.1742,0.1815,0.2805,51085.49059950333,0.08477728571394239,10565.0,0.0943219355414695,0.8,4.0,5,14.666666666666666,14.666666666666666,2.3333333333333335,2.3333333333333335,4.0,132.0,3.0,6.0,2.0,38.0,1.0,4.0,0.12578565034191572,0.5033039194744255,True
ASTS,AST SpaceMobile Inc.,Communication Services,Diversified Telecommunication Services,93.067,36121.59,1.5519,1.5231,0.557,,80.30373957469106,0.19768753525098703,-145.31,0.42495759489969,1.0,5.0,5,92.33333333333333,92.33333333333333,5.666666666666667,5.666666666666667,264.0,5.0,297.0,244.0,12.0,1.0,4.0,1.0,0.0005798291331279203,0.008687732839139444,False
MSFT,Microsoft Corporation,Information Technology,Software,386.519,2871231.15,-0.1822,0.0574,0.0842,0.2232,48252.63858488167,0.12973335605060266,23384.0,0.22963312121926305,1.0,5.0,5,17.333333333333332,1000.0,4.666666666666667,1000.0,5.0,221.0,11.0,3.0,3.0,44.0,1.0,10.0,0.11881043822591314,0.589897788627181,True
MU,Micron Technology Inc.,Information Technology,Semiconductors and Semiconductor Equipment,923.365,1041310.15,6.958,1.4107,0.6333,0.5416,26796.44543249798,0.5548986034565788,15572.0,1.8236327438810167,1.1111111111111112,10.0,9,7.0,7.0,2.6666666666666665,2.6666666666666665,13.0,7.0,71.0,4.0,5.0,3.0,2.0,1.0,0.06597975816662091,0.14912116994306446,False
MCK,McKesson Corporation,Health Care,Health Care Providers and Services,797.264,95834.36,0.1108,0.2641,0.3244,0.1569,44378.736205055146,0.12360082550946805,1467.0,0.4452200303490137,1.1666666666666667,7.0,6,3.6666666666666665,3.6666666666666665,1.3333333333333333,1.3333333333333333,7.0,89.0,7.0,31.0,1.0,3.0,1.0,2.0,0.15371166139603548,0.20049184100446796,False
NVDA,NVIDIA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,201.36,4877044.96,0.4098,0.7292,0.6236,0.6748,104972.72017811108,0.17390639905898908,39546.0,0.3293661039253084,1.2777777777777777,11.5,9,4.666666666666667,4.666666666666667,1.6666666666666667,1.6666666666666667,1.0,22.0,14.0,1.0,1.0,12.0,1.0,3.0,0.2584699044838382,0.5841690788615395,True
WDC,Western Digital Corporation,Information Technology,Technology Hardware Storage and Peripherals,505.849,174357.11,8.0866,1.3287,0.4654,0.2684,-3827.876109712468,0.23707983193277316,4622.0,2.4467972472207515,1.2857142857142858,9.0,7,116.0,116.0,20.0,20.0,290.0,9.0,214.0,12.0,54.0,4.0,5.0,1.0,-0.009425218006874663,-0.03771295972049512,False
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,561.023,1424113.86,-0.1918,0.2832,0.1111,0.1699,44600.818988746236,0.06964859727516104,10129.0,0.16753779483277653,1.5,6.0,4,4.0,4.0,2.0,2.0,6.0,83.0,16.0,7.0,2.0,4.0,2.0,2.0,0.3220379816432665,0.41538215418978636,True
BE,Bloom Energy Corporation,Industrials,Electrical Equipment,243.481,69256.68,9.807,1.5178,0.5694,,884.4545192614837,0.21000103755453337,94.46000000000001,-1.0681895284405745,1.5,6.0,4,77.66666666666667,77.66666666666667,10.333333333333334,10.333333333333334,204.0,6.0,291.0,158.0,27.0,2.0,3.0,1.0,0.007575147378659772,0.09620371170601878,False
DELL,Dell Technologies Inc.,Information Technology,Technology Hardware Storage and Peripherals,379.368,245871.43,2.4104,0.9936,0.2953,,37298.52883019412,0.18023921506455998,2473.0,0.41661051212938016,1.7857142857142858,12.5,7,7.333333333333333,7.333333333333333,2.6666666666666665,2.6666666666666665,10.0,15.0,28.0,18.0,4.0,8.0,2.0,2.0,0.09183859547290465,0.3674721634375196,False
CIEN,Ciena Corporation,Information Technology,Communications Equipment,442.111,62582.1,5.1217,1.1983,0.4962,0.3551,1304.5432154069995,0.16765663558730348,314.96000000000004,2.553591697746068,1.8333333333333333,11.0,6,67.33333333333333,67.33333333333333,12.666666666666666,12.666666666666666,164.0,11.0,267.0,93.0,33.0,5.0,3.0,2.0,0.0032121217751542672,0.1227440483507204,False
COHR,Coherent Corp.,Information Technology,Electronic Equipment Instruments and Components,355.125,69476.41,3.3568,1.0856,0.3831,0.3339,1007.096949152542,0.13630895112140728,419.49,8.49858184764992,2.1666666666666665,13.0,6,78.0,78.0,14.333333333333334,14.333333333333334,191.0,13.0,254.0,78.0,37.0,6.0,5.0,1.0,0.002479732370579276,0.04760168735304,False
FIX,Comfort Systems USA Inc.,Industrials,Construction and Engineering,1800.251,63268.78,2.6244,1.2451,0.8455,0.4932,2813.8016809940045,0.1136113931115712,201.09000000000015,0.19665349710530444,2.5,10.0,4,38.333333333333336,38.333333333333336,5.333333333333333,5.333333333333333,98.0,10.0,226.0,119.0,13.0,4.0,2.0,1.0,0.024099557369719936,0.26037898657718966,False
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Distribution and Retail,120.985,962808.21,0.2629,0.3324,0.2085,0.1768,40214.79503164254,0.017025560776428472,843.0,0.03850545836568764,2.6666666666666665,8.0,3,3.3333333333333335,3.3333333333333335,1.0,1.0,8.0,68.0,2.0,45.0,1.0,1.0,1.0,1.0,0.45257916532504516,0.584392060094802,False
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment,290.007,111394.25,1.6224,1.3863,0.6169,,2434.4042652190765,0.05997126071613601,225.60000000000014,0.16926770708283323,2.6666666666666665,8.0,3,44.333333333333336,44.333333333333336,6.666666666666667,6.666666666666667,114.0,8.0,221.0,108.0,16.0,3.0,2.0,2.0,0.02085010668911568,0.2647945383360058,False
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1161.97,1036176.76,0.437,0.3748,0.3896,0.3168,23243.37020959099,0.10847051964589816,4637.0,0.22466085271317837,3.0,15.0,5,7.0,7.0,2.3333333333333335,2.3333333333333335,15.0,58.0,56.0,11.0,5.0,1.0,1.0,1.0,0.08050650732483852,0.6872976346290687,False
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Providers and Services,405.534,368283.43,0.3058,-0.0633,0.0038,0.1127,39652.8194583751,0.004794812843663676,-12.0,-0.0009953550099535136,3.0,9.0,3,12.666666666666666,12.666666666666666,4.0,4.0,9.0,274.0,4.0,223.0,2.0,27.0,2.0,8.0,0.13734281953909253,0.17914135133306994,False
LRCX,Lam Research Corporation,Information Technology,Semiconductors and Semiconductor Equipment,348.806,436206.67,2.8351,0.7887,0.4025,0.4539,4546.111439974706,0.17608658035896863,1349.9799999999996,0.25194560880292327,3.0,18.0,6,29.666666666666668,29.666666666666668,7.333333333333333,7.333333333333333,65.0,18.0,153.0,33.0,15.0,9.0,5.0,2.0,0.011193698588256307,0.025298932215778638,True
AVGO,Broadcom Inc.,Information Technology,Semiconductors and Semiconductor Equipment,376.875,1793013.04,0.4902,0.6708,0.5156,0.3705,18419.87187240154,0.18122622755803208,6191.0,0.2677073423851941,3.0714285714285716,21.5,7,13.0,13.0,4.666666666666667,4.666666666666667,19.0,24.0,53.0,8.0,6.0,14.0,3.0,5.0,0.045354474147054874,0.1025058659639472,True
PLTR,Palantir Technologies Inc.,Information Technology,Software,129.78,311123.15,-0.0485,1.048,0.3936,,2109.1679130642183,0.1672949088918434,656.5000000000002,0.40399254167615384,3.5,14.0,4,54.333333333333336,54.333333333333336,13.333333333333334,13.333333333333334,127.0,14.0,271.0,56.0,29.0,7.0,9.0,2.0,0.005193315254716634,0.025784983458911087,True
CVS,CVS Health Corporation,Health Care,Health Care Providers and Services,99.009,126328.29,0.5065,0.1129,0.0298,0.0024,28859.686791751825,0.014466003391407467,1164.0,0.658371040723982,3.6666666666666665,11.0,3,8.666666666666666,8.666666666666666,3.6666666666666665,3.6666666666666665,11.0,189.0,6.0,39.0,3.0,12.0,3.0,5.0,0.09995936755909883,0.1303807235283901,False
CAH,Cardinal Health Inc.,Health Care,Health Care Providers and Services,221.968,51986.21,0.4458,0.3665,0.3019,0.1094,28452.19858156031,0.12650396714859502,-6.0,-0.0038436899423446302,4.0,12.0,3,6.0,6.0,3.0,3.0,12.0,59.0,15.0,221.0,4.0,2.0,4.0,1.0,0.09854797789044262,0.12853979545257874,False
FLEX,Flex Ltd.,Information Technology,Electronic Equipment Instruments and Components,146.243,53580.21,2.3511,0.7682,0.5119,0.2754,2101.1647863880135,0.08139309650176263,42.0,0.05011933174224348,5.0,20.0,4,56.0,56.0,12.0,12.0,128.0,20.0,118.0,190.0,30.0,10.0,4.0,2.0,0.005173609493219162,0.0993141616832658,False
