date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2020-03-20,A,Agilent Technologies,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.06262,0.00123,0.07681,0.16546,0.00000,Out-of-sample 2015+,0.49346,32.23207,46.25498,0.62800,0.26262,-0.23826,-0.47473,0.04447,0.19201,Market,97.11640,Panic,True
2011-08-18,AAON,AAON Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.07800,0.23365,-0.03980,-0.06940,-0.05691,In-sample 2005-14,0.99092,33.61172,48.16292,0.71307,0.30705,-0.36217,-0.18636,-0.01246,-0.16335,Market,85.23878,Panic,False
2020-03-12,AAON,AAON Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.14937,-0.13537,-0.16568,-0.05066,-0.17946,Out-of-sample 2015+,0.73715,35.84017,47.79782,0.67467,0.30964,-0.28920,-0.41764,-0.02306,0.15151,Market,99.89418,Panic,True
2025-03-11,AAON,AAON Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.04587,-0.14705,-0.16892,-0.16545,-0.10376,Out-of-sample 2015+,2.27926,34.11102,49.72104,0.57260,0.41429,-0.31389,-0.10045,0.01374,-0.22718,Specific,84.39153,Panic,False
2025-12-18,AAON,AAON Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.26959,0.15414,0.66708,,-0.00345,Out-of-sample 2015+,0.37887,38.51685,46.04033,0.47504,0.45257,-0.19042,0.03697,0.02018,-0.24757,Specific,45.03968,Calm,False
2026-07-29,AAON,AAON Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.17110,,,,-0.14808,Out-of-sample 2015+,0.12617,39.45280,48.10525,0.58963,0.42712,-0.39286,-0.03260,-0.03479,-0.32547,Specific,60.18519,Calm,False
2016-02-17,AAP,Advance Auto Parts Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.02968,-0.06844,-0.04499,-0.12316,0.00000,Out-of-sample 2015+,0.62613,38.14738,49.62000,0.41988,0.28402,-0.00612,0.02243,-0.00915,-0.01940,Specific,87.40741,Elevated,True
2008-09-29,AAPL,Apple Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.11737,-0.01408,0.24670,0.69680,-0.29184,In-sample 2005-14,16.44327,26.67090,44.79794,0.66811,0.47325,-0.50113,-0.17265,-0.07649,-0.25199,Specific,100.00000,Elevated,False
2008-01-17,AB,AllianceBernstein Holding L.P.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.04343,-0.01683,-0.06154,-0.31539,0.00000,In-sample 2005-14,1.98958,27.02459,41.67051,0.41375,0.31934,-0.20673,-0.10097,0.00926,-0.11502,Specific,95.95238,Elevated,False
2008-04-23,AB,AllianceBernstein Holding L.P.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.06319,-0.05290,-0.29397,-0.35032,-0.26935,In-sample 2005-14,0.97364,36.66511,38.91776,0.31236,0.35444,-0.14426,0.02785,-0.02243,-0.14968,Specific,83.65079,Elevated,False
