weekly_pct,monthly_pct,vix_equiv,is_n,is_3m,is_6m,is_12m,is_6m_hit,oos_n,oos_3m,oos_6m,oos_12m,oos_6m_hit,is_obj
0.05000,0.10000,25,357,0.01519,0.04488,0.05791,0.53221,359,0.06529,0.07944,0.15907,0.58286,0.03004
0.05000,0.10000,30,280,0.02235,0.05201,0.07440,0.53929,200,0.07296,0.08772,0.17317,0.55556,0.03718
0.05000,0.10000,35,225,0.02148,0.05744,0.08714,0.56444,139,0.07658,0.09380,0.17948,0.60584,0.03946
0.05000,0.20000,25,410,0.01309,0.04134,0.04316,0.52195,509,0.05368,0.06297,0.12545,0.59026,0.02722
0.05000,0.20000,30,311,0.02166,0.04416,0.06025,0.53055,264,0.06680,0.07959,0.16298,0.57692,0.03291
0.05000,0.20000,35,245,0.02328,0.05194,0.07037,0.54694,175,0.07469,0.08535,0.17349,0.59302,0.03761
0.05000,0.30000,25,456,0.01624,0.04278,0.04616,0.53070,568,0.04807,0.05303,0.10973,0.56000,0.02951
0.05000,0.30000,30,331,0.02244,0.04035,0.05198,0.52568,287,0.06180,0.06509,0.14319,0.54965,0.03140
0.05000,0.30000,35,256,0.02292,0.04657,0.06311,0.53516,186,0.07348,0.08005,0.16455,0.58242,0.03475
0.10000,0.10000,25,432,0.01982,0.04722,0.06860,0.55787,404,0.06023,0.07462,0.14611,0.57179,0.03352
0.10000,0.10000,30,334,0.02427,0.05022,0.07367,0.54790,220,0.06359,0.08439,0.17302,0.53917,0.03724
0.10000,0.10000,35,268,0.02209,0.04992,0.07878,0.55597,147,0.07027,0.08370,0.16772,0.57931,0.03600
0.10000,0.20000,25,503,0.01469,0.04270,0.05144,0.52286,625,0.05173,0.06566,0.12315,0.57930,0.02870
0.10000,0.20000,30,378,0.01940,0.04174,0.05857,0.50529,304,0.06146,0.08503,0.16959,0.56376,0.03057
0.10000,0.20000,35,297,0.01926,0.04708,0.06874,0.51178,195,0.06663,0.07906,0.16882,0.56771,0.03317
0.10000,0.30000,25,580,0.01121,0.03507,0.04523,0.53103,737,0.04178,0.04922,0.09136,0.54545,0.02314
0.10000,0.30000,30,417,0.00986,0.02706,0.03897,0.51079,344,0.04752,0.06246,0.12748,0.52836,0.01846
0.10000,0.30000,35,320,0.00812,0.03131,0.05154,0.50313,217,0.06016,0.07115,0.14439,0.54930,0.01972
0.20000,0.10000,25,488,0.02009,0.04421,0.06351,0.56148,442,0.05463,0.06850,0.13300,0.55294,0.03215
0.20000,0.10000,30,372,0.02236,0.04829,0.07217,0.54301,240,0.05532,0.07380,0.16358,0.52137,0.03533
0.20000,0.10000,35,301,0.02545,0.05160,0.07881,0.55814,153,0.06771,0.07995,0.16308,0.57333,0.03852
0.20000,0.20000,25,582,0.01793,0.03870,0.05134,0.53265,708,0.04553,0.05972,0.11733,0.57249,0.02831
0.20000,0.20000,30,429,0.01958,0.04074,0.05879,0.50816,338,0.05602,0.08231,0.15959,0.54908,0.03016
0.20000,0.20000,35,340,0.02273,0.04573,0.06501,0.52647,206,0.06467,0.07726,0.15951,0.56500,0.03423
0.20000,0.30000,25,691,0.01398,0.03010,0.04160,0.53835,873,0.03590,0.04790,0.08925,0.53486,0.02204
0.20000,0.30000,30,483,0.01200,0.02893,0.04170,0.51346,394,0.04275,0.05895,0.13039,0.52255,0.02046
0.20000,0.30000,35,376,0.01328,0.03161,0.04673,0.51862,236,0.06132,0.07384,0.15894,0.56769,0.02244
