Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-14,34.7000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.1511,39.6400,0.0717,42.1774,51.7841,0.0571,54.6060,0.2446,0.3727,7.0000,0.2842,-0.0563,Specific,2026-09-10,2,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,34.7000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,False,True,True,0.5517,41.0964,0.1233,39.5647,39.3996,0.0621,44.8863,0.4429,0.4720,12.0000,0.4672,-0.0983,Specific,2026-09-10,2,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,34.7000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.1381,33.1857,0.0131,41.7403,43.8557,0.0392,47.5025,0.2772,0.3710,8.0000,0.2898,-0.0237,Market,2026-09-04,5,,"+4.8% 6m xs, 54% hit (n=721)"
2026-09-14,34.7000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,True,False,3.0384,38.5662,0.0334,42.2553,47.9913,0.0850,48.8016,0.3551,0.4769,35.0000,0.3390,-0.0562,Specific,2026-08-20,16,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,34.7000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AAON,AAON Inc.,Industrials,True,True,True,False,1.1505,37.4695,0.0421,41.9277,45.9005,0.0327,49.4274,0.4153,0.5912,20.0000,0.4894,-0.1373,Sector,2026-08-10,24,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,0.7775,27.1097,0.0178,39.0502,35.0420,0.0183,43.4597,0.4951,0.5033,,0.4481,-0.3473,Specific,,,Reported 20d ago,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TJX,TJX Companies,Consumer Discretionary,True,True,True,False,0.8919,30.3733,0.0015,43.3951,45.9341,0.0294,51.5763,0.2225,0.3990,,0.2495,-0.1809,Specific,,,Reported 26d ago,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",CW,Curtiss-Wright Corporation,Information Technology,True,True,False,True,4.2970,31.0466,0.0102,40.7118,52.6692,0.2353,45.7461,0.2741,0.3586,12.0000,0.3047,-0.1998,Specific,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.2217,32.7090,0.0406,37.7916,40.0853,0.0392,43.5387,0.2533,0.6505,,0.3340,-0.1368,Specific,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TGLS,Tecnoglass Holdings Inc.,Consumer Discretionary,True,True,True,False,0.4257,34.5483,0.0721,37.1980,34.5214,0.0443,39.1024,0.3490,0.6575,,0.4825,-0.1275,Specific,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AGX,Argan Inc.,Consumer Discretionary,True,True,False,True,12.5626,35.4041,0.0906,36.0085,52.4357,0.3693,42.2247,0.5454,0.6258,15.0000,0.5080,-0.2976,Specific,,,Reported 12d ago,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",IBP,Installed Building Products Inc.,Consumer Discretionary,True,True,True,False,0.0129,36.9629,0.0591,39.9343,46.9043,0.0949,47.0964,0.4228,0.5377,23.0000,0.4122,-0.1860,Specific,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FTAI,FTAI Aviation Ltd.,Industrials,True,True,True,False,9.2096,37.2068,0.0692,39.5982,50.2962,0.0984,50.3711,0.4712,0.6533,22.0000,0.4291,-0.1858,Sector,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FN,Fabrinet,Utilities,True,True,False,True,4.6135,37.3577,0.0588,40.8585,49.4645,0.1768,46.3991,0.4659,0.6396,13.0000,0.4875,-0.3247,Specific,,,Reported 28d ago,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TDG,TransDigm Group,Industrials,True,True,True,False,0.3998,37.5323,0.0294,44.6331,44.4099,0.0129,51.5778,0.1964,0.4009,,0.2336,-0.1084,Sector,,,,
2026-09-14,34.7000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",APG,APi Group Corporation,Consumer Discretionary,True,True,True,False,0.9529,38.8371,0.0627,43.2003,54.6585,0.0952,55.6344,0.4018,0.4308,,0.2486,-0.1463,Specific,,,,
