Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-23,8.4000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,True,True,True,0.4456,36.0884,0.0623,39.5275,36.9074,0.0490,44.8863,0.4313,0.4719,19.0000,0.5320,-0.2459,Specific,2026-09-17,4,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-23,8.4000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HLI,Houlihan Lokey Inc.,Financials,True,True,True,True,0.0250,39.1778,0.0848,40.1088,41.6070,0.0168,52.6556,0.3230,0.3668,19.0000,0.3680,0.0130,Specific,2026-09-23,0,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-23,8.4000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.5243,39.5647,0.0716,42.1009,51.0079,0.0381,54.6060,0.2501,0.3724,14.0000,0.2981,-0.0722,Specific,2026-09-10,9,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-23,8.4000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.2080,31.9695,0.0101,41.7320,43.3024,0.0261,47.5025,0.2487,0.3710,15.0000,0.3000,-0.0109,Sector,2026-09-04,12,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-23,8.4000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,False,False,3.4925,40.6694,0.0659,42.2473,49.0864,0.1111,48.8016,0.3551,0.4769,42.0000,0.3208,0.0530,Specific,2026-08-20,23,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",XENE,Xenon Pharmaceuticals Inc.,Health Care,True,True,True,False,1.2283,27.0540,0.0149,34.6275,43.1502,0.0156,52.8147,0.4453,0.8242,,0.4848,-0.3963,Specific,,,,
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",IONS,Ionis Pharmaceuticals Inc.,Health Care,True,True,True,False,0.1962,29.7435,0.0159,36.6481,41.9457,0.0915,42.3553,0.3944,0.7811,,0.4921,-0.2919,Specific,,,,
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,1.0882,30.9518,0.0348,39.0199,35.3249,0.0183,43.4597,0.3819,0.5027,,0.4413,-0.2549,Specific,,,Reported 29d ago,
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",ATO,Atmos Energy,Utilities,True,True,True,False,0.0780,31.3040,0.0065,44.1511,50.4649,0.0915,51.6040,0.1282,0.2861,,0.1780,-0.0690,Sector,,,,
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",CW,Curtiss-Wright Corporation,Information Technology,True,True,False,True,4.3063,31.3696,0.0109,40.6452,52.0679,0.2124,45.7461,0.2564,0.3585,19.0000,0.3123,-0.1135,Specific,,,,
2026-09-23,8.4000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.0745,31.6760,0.0333,37.7678,39.5744,0.0392,43.5387,0.2850,0.6505,,0.3502,-0.1465,Specific,,,,
